command,mean,stddev,median,user,system,min,max,parameter_width
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 20,0.07482733221621622,0.00740660772119464,0.077249948,0.06726043243243245,0.00919445945945946,0.05954194300000001,0.085058346,20
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 20,0.008902637227513227,0.0011820769626343702,0.008529993999999999,0.006287452380952384,0.002200989417989417,0.007062204000000001,0.012131607,20
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 25,0.019373429551948044,0.0012450355959070757,0.0190450125,0.01669488961038961,0.0025071558441558447,0.017035520000000002,0.025603917,25
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 25,0.06982138249999999,0.007031482419465509,0.06973574,0.06165252631578947,0.00926873684210526,0.059355119000000005,0.083201541,25
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 25,0.009507853877192982,0.0011186892874804374,0.009894039,0.006955873684210527,0.0023174982456140355,0.0071603330000000005,0.012385846,25
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 30,0.024064986618320596,0.0014801681220281678,0.023854452,0.02106396946564885,0.0027789389312977094,0.021035252,0.028436616,30
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 30,0.07713842592307694,0.00979071386272383,0.07516697500000001,0.06687282051282054,0.011712153846153844,0.063856143,0.093289012,30
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 30,0.009330711633608817,0.0011314687822563626,0.009619790000000001,0.0066140468319559175,0.002235561983471074,0.007186507000000001,0.011620686,30
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 35,0.02936523143809524,0.0017769042971713148,0.029108133,0.026465476190476196,0.0031263047619047614,0.026920759000000002,0.039667044000000005,35
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 35,0.07783269163414633,0.007475715539135139,0.07742046400000001,0.06928558536585366,0.00959978048780488,0.067871767,0.09536425100000001,35
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 35,0.009616417625441694,0.0009587024211231065,0.009923711,0.007200710247349825,0.0021350141342756177,0.006709156000000001,0.011051327000000001,35
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 40,0.030626960939393936,0.001167687215364478,0.030645313,0.028028919191919195,0.002700323232323232,0.027773818000000002,0.033089832,40
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 40,0.0852701171388889,0.009399979862423965,0.08584226550000001,0.07689688888888888,0.010004333333333334,0.06958310000000001,0.10187679300000001,40
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 40,0.008490357746438745,0.0010164186914693272,0.008180451,0.005949680911680916,0.002282846153846155,0.006706226,0.011409948000000001,40
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 45,0.03669289819318181,0.0012477801602560333,0.0367846925,0.033702125,0.0027826818181818183,0.032173308000000005,0.040301984000000006,45
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 45,0.084986268,0.010190016308054975,0.08263307,0.07918010344827586,0.007126448275862068,0.07188641100000001,0.105907658,45
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 45,0.0084067615922619,0.00093771072929533,0.008107765,0.005811678571428572,0.0021446904761904767,0.0068516110000000005,0.011576877000000001,45
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 50,0.03862441031081083,0.002162142252451952,0.0383281585,0.03624801351351352,0.002731189189189189,0.033582978,0.04557013,50
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 50,0.09377045720000002,0.009307196046371351,0.094217069,0.0861001714285714,0.009622857142857143,0.077936794,0.109065138,50
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 50,0.008386050342105269,0.0010232582408214075,0.008033874,0.005834231578947369,0.0022854157894736833,0.0069662660000000005,0.01147035,50
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 55,0.04349214561971831,0.0021398412893887473,0.043590526000000004,0.04112629577464788,0.003080690140845069,0.038159724,0.047865540000000005,55
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 55,0.09412539432352943,0.009459524127472101,0.0924502435,0.08593397058823526,0.010192000000000001,0.079472475,0.11467798300000001,55
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 55,0.009552720010752682,0.001075371662057867,0.009918107,0.007118082437275985,0.0021358996415770594,0.007332125,0.011488372,55
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 60,0.048935900983870975,0.004950452133235547,0.048376645,0.04655758064516128,0.003085983870967743,0.040505187000000005,0.059972010000000006,60
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 60,0.09421886951515153,0.006546051649600954,0.09298872400000001,0.08582384848484849,0.010369575757575755,0.08587876800000001,0.109885198,60
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 60,0.00971976381886793,0.0009698658990689111,0.010029765000000001,0.007364603773584904,0.0021632226415094335,0.0070260520000000005,0.011872359,60
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 65,0.05852308686792456,0.003968573441605396,0.058738751000000006,0.05545311320754718,0.003820113207547169,0.050573948,0.06960087300000001,65
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 65,0.10297520593333334,0.01011893628995089,0.1014002865,0.09556893333333333,0.009383833333333333,0.08900201,0.12040599900000001,65
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 65,0.009575614397058826,0.0010250632228507091,0.009933534,0.007188268382352939,0.0021003235294117647,0.0068964790000000005,0.011422910000000001,65
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 70,0.059506107900000015,0.004013515789202921,0.0591758015,0.057028039999999995,0.0033223,0.053642953,0.070722747,70
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 70,0.11416339145833336,0.005120985583453646,0.11454072700000001,0.10592125000000001,0.010497083333333332,0.10557027000000001,0.124290495,70
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 70,0.009000070735294111,0.0011700569468781816,0.008986947500000002,0.006471466911764703,0.0022985588235294127,0.0069728080000000005,0.012255086,70
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 75,0.06269274001960783,0.003836272863036119,0.06256049600000001,0.0607628431372549,0.0031103137254901957,0.054444874000000004,0.07054905,75
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 75,0.1174999108214286,0.00752469014752804,0.11855264800000001,0.11032717857142858,0.009017035714285712,0.102743206,0.12889920800000002,75
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 75,0.008762485837837841,0.0011766905551428744,0.0084050785,0.006310067567567567,0.0022264729729729745,0.0069130170000000005,0.011954909000000001,75
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 80,0.0710909201111111,0.0031470200688293428,0.07072210200000001,0.06934704444444444,0.0027944444444444444,0.06541053100000001,0.076751738,80
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 80,0.11632957512000001,0.005457608720945939,0.11710743800000001,0.11449192,0.00899936,0.10497273600000001,0.125783785,80
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 80,0.008685575705035972,0.0011518323407326207,0.0082652815,0.006152557553956833,0.002346104316546762,0.006910389,0.010936913000000001,80
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 85,0.072055697575,0.0020565489510570973,0.072417402,0.06986337499999999,0.0036817250000000003,0.066506147,0.075651629,85
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 85,0.12214603013043479,0.007630571371284702,0.12247853500000001,0.11263073913043478,0.011483521739130434,0.104679064,0.134290365,85
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 85,0.008718139072674418,0.0012041671754558384,0.008331321499999999,0.006299026162790692,0.002137703488372093,0.006728851,0.013631240000000001,85
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 90,0.07206900497619048,0.003539434444244685,0.07178212550000002,0.07036957142857142,0.0032007857142857137,0.066585726,0.08021916400000001,90
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 90,0.12017889386363638,0.006164303009672966,0.11840542000000001,0.11183013636363634,0.011166954545454544,0.11152478900000001,0.13201970700000001,90
