command,mean,stddev,median,user,system,min,max
bench/ad_bench/output/indirect_prop_t,0.1085285357826087,0.0047085208636348085,0.10697321800000001,0.07002152173913043,0.03790991304347826,0.103803792,0.125395104
bench/ad_bench/output/naive,0.8807695825999999,0.08819902672328564,0.8453877040000001,0.28910406666666666,0.5914224666666666,0.7967033490000001,1.07258689
bench/ad_bench/output/no_alloc,0.11774419807142858,0.03526898564815543,0.108001916,0.07309932142857144,0.04390185714285715,0.10474564300000001,0.259822585
bench/ad_bench/output/ptr_dbl_cast,0.1102389785769231,0.0075604163294075944,0.108467615,0.0698586923076923,0.039884,0.10614293000000001,0.14625458800000002
bench/chameneos_bench/output/chameneos_actors,0.0026655208095238076,0.00015953374639044032,0.0026407870000000003,0.002022907563025208,0.0002784089635854342,0.002392716,0.004534514
bench/chameneos_bench/output/chameneos_effect_actors,0.0033593369175141264,0.00017821535447107872,0.0033295910000000002,0.0024870259887005623,0.0004871751412429381,0.003045429,0.00483221
bench/chameneos_bench/output/chameneos_effect_direct,0.0009554706308037177,0.00010341221195295863,0.0009466190000000001,0.0005833736791546598,0.0000715619596541787,0.000799827,0.0018411260000000002
bench/exception_bench/output/cpp,0.14249566576190476,0.0019819189385909797,0.14216093300000002,0.14168204761904762,0.0005648571428571429,0.139062716,0.145787008
bench/exception_bench/output/libseff,0.15010913260000003,0.03023340201347934,0.14207565,0.0171751,0.13253710000000002,0.13798553400000002,0.27733676300000004
bench/exception_bench/output/libseff_norecycle,0.010325580394463674,0.0004544380129935637,0.010297189,0.008917328719723183,0.0009692629757785468,0.009622353,0.013089207
bench/exception_nested_bench/output/cpp,0.007836592941644557,0.00028839474345947267,0.00785981,0.007077819628647211,0.0004450212201591513,0.0072558480000000005,0.008837744
bench/exception_nested_bench/output/libseff,0.6897932544,0.012405618376134865,0.685612839,0.06839973333333332,0.6203375999999999,0.677916935,0.7161522760000001
bench/exception_nested_bench/output/libseff_norecycle,0.8299980652666666,0.11555294606416582,0.745495365,0.09057453333333333,0.7369785333333334,0.73401285,0.999592424
bench/exception_rethrow_bench/output/cpp,1.2291276523333334,0.0070023344628921775,1.229165059,1.2280930666666667,0.00026599999999999996,1.215290701,1.243190604
bench/exception_rethrow_bench/output/libseff,0.8096865125333335,0.09741484162140808,0.745474308,0.10763046666666667,0.7014896,0.727494124,0.946531478
bench/exception_rethrow_bench/output/libseff_norecycle,0.08255437058333331,0.003925798676789136,0.0820996925,0.0772673888888889,0.0048305000000000015,0.078977456,0.103672234
bench/handler_stack_bench/output/local,0.7809612100000002,0.016450774032623298,0.775684899,0.7747889333333334,0.0050584666666666665,0.760465507,0.8210064800000001
bench/handler_stack_bench/output/massive,0.7061743182666667,0.00871630280901785,0.708034876,0.7018713999999998,0.0037237333333333335,0.6827725920000001,0.7180296970000001
bench/handler_stack_bench/output/mid,0.036955891962025304,0.0017748428749490316,0.037410814,0.03425182278481012,0.0017992278481012657,0.032925897,0.040499377
bench/handler_stack_bench/output/real,0.07113898735714287,0.0010852976611163297,0.07106949,0.06863007142857142,0.0015764523809523804,0.06931585300000001,0.07349282700000001
