command,mean,stddev,median,user,system,min,max
bench/ad_bench/output/indirect_prop_t,0.08133259219230769,0.009710696747836992,0.078478792,0.048234423076923064,0.03258980769230769,0.071461883,0.11334195300000001
bench/ad_bench/output/naive,0.7867458528,0.06290038075245803,0.754393164,0.1980686,0.5882626,0.732102628,0.9446509510000001
bench/ad_bench/output/no_alloc,0.08712746252500002,0.027341213943195393,0.080989773,0.04869640000000001,0.037657624999999986,0.07315848200000001,0.208887748
bench/ad_bench/output/ptr_dbl_cast,0.08026544591428571,0.006719799609449484,0.07864423100000001,0.044567914285714286,0.03443871428571429,0.071896444,0.10254479700000001
bench/chameneos_bench/output/chameneos_actors,0.0008327940380669546,0.00007597055113906735,0.000820548,0.0004390391468682511,0.00004565685745140389,0.000695415,0.0013801470000000002
bench/chameneos_bench/output/chameneos_effect_actors,0.0008737055706388196,0.00007234021963196236,0.0008624605000000001,0.0004666415847665842,0.00004958169533169534,0.0007333950000000001,0.001674806
bench/chameneos_bench/output/chameneos_effect_direct,0.0005012382412752325,0.00006616156135918051,0.000492234,0.00011379494435012246,0.000020828522920203728,0.00037518800000000004,0.001237947
bench/exception_bench/output/cpp,0.14872294884210527,0.0016407165096034603,0.148798282,0.14752189473684207,0.0008291052631578947,0.145218806,0.15308876800000001
bench/exception_bench/output/libseff,0.14849977405,0.0077087724766580715,0.1471258115,0.015580349999999996,0.1325354,0.144047494,0.18074322
bench/exception_bench/output/libseff_norecycle,0.007154380676328497,0.0002763059552009116,0.007111585,0.006137787439613522,0.00032005555555555574,0.006598410000000001,0.008458147000000001
bench/exception_nested_bench/output/cpp,0.008091793802083335,0.00039950105825227374,0.008033021500000001,0.0068440338541666665,0.0004674270833333332,0.007383947,0.010002487000000001
bench/exception_nested_bench/output/libseff,0.1864127455294117,0.03566812949609423,0.177918551,0.023478117647058823,0.16220794117647058,0.17430745,0.324526915
bench/exception_nested_bench/output/libseff_norecycle,0.8343478073333334,0.09352838479083524,0.785065957,0.08634746666666665,0.7467636666666665,0.775156951,1.024613953
bench/exception_rethrow_bench/output/cpp,1.2919241894,0.016357309844377863,1.28506508,1.2913374,0,1.27184385,1.331810235
bench/exception_rethrow_bench/output/libseff,0.7613252628666669,0.0692809942490394,0.723877073,0.07078799999999999,0.6890448666666664,0.704608662,0.902305522
bench/exception_rethrow_bench/output/libseff_norecycle,0.05896226045999998,0.0015292077197971478,0.05892940000000001,0.05820368000000001,0.00046192,0.056362948,0.063276346
bench/handler_stack_bench/output/mid,0.023066609758333325,0.0018622445678206482,0.0227358385,0.02031814166666666,0.0019213916666666665,0.020360223,0.032552004
bench/handler_stack_bench/output/thin,0.022756984286764707,0.0009587966401254337,0.022607016,0.02004842647058823,0.001995683823529412,0.020730525,0.025195350000000002
bench/handler_stack_bench/output/wide,0.022711634084615382,0.0009221688711661635,0.0226705605,0.019898107692307695,0.0021085076923076916,0.020733994000000002,0.024774667
bench/handler_stack_bench/output/wide_real,0.021864976449275375,0.0009732333160899454,0.0218844095,0.020250521739130427,0.0010618550724637683,0.019964095,0.024803996000000002
bench/skynet_bench/output/libseff,0.08025054761111111,0.0014016154027605289,0.08000676400000001,0.07958288888888887,0.0004359444444444444,0.07804802100000001,0.082931951
bench/skynet_bench/output/libseff_async,0.0720745954888889,0.0034620288938829497,0.072285473,0.5612107111111111,0.004376111111111112,0.064162196,0.078609934
