command,mean,stddev,median,user,system,min,max
bench/ad_bench/output/indirect_prop_t,0.0898004176875,0.002558353128806441,0.0899988645,0.0754305625,0.013565906249999997,0.085689892,0.095275778
bench/ad_bench/output/naive,0.8457797777333335,0.10209686842358913,0.7951423200000001,0.28381219999999996,0.5612909333333335,0.7613207470000001,1.046717737
bench/ad_bench/output/no_alloc,0.09066006865625,0.0020464003084066616,0.09072295150000001,0.07653062499999999,0.013391781249999998,0.08706392900000001,0.09533812300000001
bench/ad_bench/output/ptr_dbl_cast,0.09367156906060604,0.012146261768131704,0.09151001,0.07750460606060607,0.015493000000000003,0.08803888600000001,0.16037742800000002
bench/chameneos_bench/output/chameneos_actors,0.0025234646867565414,0.00016622478328482876,0.002479457,0.001980897700237909,0.00020107930214115775,0.002267982,0.004017041
bench/chameneos_bench/output/chameneos_effect_actors,0.0029942508997020845,0.00016995439805706487,0.0029466360000000003,0.00239677656405164,0.0001372383316782522,0.0027396620000000003,0.003856603
bench/chameneos_bench/output/chameneos_effect_direct,0.0007295658827339733,0.00007150085412264649,0.0007159930000000001,0.0004570457895912439,0.00003799285235648871,0.0006143790000000001,0.001368562
bench/exception_bench/output/cpp,0.14178633125,0.00302174045924584,0.14121437950000001,0.13999394999999998,0.0007935000000000002,0.137392507,0.14996206
bench/exception_bench/output/libseff,0.14054569847619047,0.011324032685718226,0.138574747,0.01605542857142857,0.1237692380952381,0.134985085,0.189203532
bench/exception_bench/output/libseff_norecycle,0.008672007465317908,0.0002570769249355401,0.0086499555,0.007649973988439313,0.0001635115606936416,0.008011388000000001,0.009920741
bench/exception_nested_bench/output/cpp,0.0077551352689295095,0.00027402974503708965,0.007737058000000001,0.006814109660574409,0.0002652532637075718,0.0070906300000000005,0.008947946
bench/exception_nested_bench/output/libseff,0.6990551481333334,0.05940070541035427,0.678108534,0.07388773333333334,0.6234976,0.665550257,0.8863178890000001
bench/exception_nested_bench/output/libseff_norecycle,0.8043769298000002,0.10127079430463608,0.7376354390000001,0.08715026666666666,0.7159948666666668,0.7145157240000001,0.993817798
bench/exception_rethrow_bench/output/cpp,1.242820556066667,0.013001386975262236,1.242225433,1.2411474666666666,0.0007990666666666667,1.219243194,1.266019363
bench/exception_rethrow_bench/output/libseff,0.7568868558666667,0.0599086769599316,0.7216226880000001,0.0852896,0.6706689999999998,0.712431707,0.86425596
