command,mean,stddev,median,user,system,min,max
bench/ad_bench/output/indirect_prop_t,0.0901667102857143,0.006748317271249615,0.0891363805,0.05514685714285714,0.03467678571428571,0.081779565,0.10785056500000001
bench/ad_bench/output/naive,0.7381962426000002,0.03846856956010058,0.739170053,0.21603013333333335,0.5208101999999999,0.685032245,0.8179364790000001
bench/ad_bench/output/no_alloc,0.0971060361851852,0.024495639172131455,0.09006264800000001,0.061097777777777786,0.034955148148148145,0.083132076,0.21209527700000003
bench/ad_bench/output/ptr_dbl_cast,0.0993196703030303,0.020537955819763296,0.09558264400000001,0.06420390909090908,0.03455860606060606,0.085113276,0.20127839
bench/chameneos_bench/output/chameneos_actors,0.0021086018726772186,0.000136404895405736,0.002084159,0.0015104521679284231,0.00011771507226428076,0.001892734,0.002773292
bench/chameneos_bench/output/chameneos_effect_actors,0.002243372229852842,0.00015270199171574987,0.002209094,0.0017041555711282401,0.00018303013314646107,0.001997819,0.003696782
bench/chameneos_bench/output/chameneos_effect_direct,0.0005518317251646891,0.00007624059998489311,0.000536301,0.0003232463768115944,0.00002318919631093544,0.000454281,0.001611428
bench/exception_bench/output/cpp,0.14128287119047617,0.0030662441728752875,0.141003764,0.14068695238095236,0.0003743809523809524,0.135736814,0.147583358
bench/exception_bench/output/libseff,0.1380782123809524,0.005190795921049751,0.137136857,0.011782809523809524,0.12583785714285708,0.13193607300000001,0.156632875
bench/exception_bench/output/libseff_norecycle,0.00712730267149759,0.0002875910191098336,0.00713189,0.006419538647342995,0.0002626207729468599,0.0066189330000000005,0.010137023
bench/exception_nested_bench/output/cpp,0.007782486334203651,0.0002840626326306222,0.007767914000000001,0.00682010182767624,0.0003202506527415144,0.007206238,0.009917616
bench/exception_nested_bench/output/libseff,0.17444664252941178,0.022535819824574886,0.168029388,0.019049882352941173,0.15440352941176472,0.161309443,0.24467042700000002
bench/exception_nested_bench/output/libseff_norecycle,0.8282488428,0.11762605508784836,0.7476352660000001,0.08507246666666667,0.7426011333333334,0.721251505,1.011879309
bench/exception_rethrow_bench/output/cpp,1.2403014522000002,0.005562461528767689,1.241495967,1.2385389333333334,0.00026606666666666666,1.2312073080000001,1.250270153
bench/exception_rethrow_bench/output/libseff,0.7045227479333334,0.027509682995922834,0.6909808310000001,0.0652542,0.6376219999999999,0.6818767440000001,0.766068504
bench/exception_rethrow_bench/output/libseff_norecycle,0.05678751779629633,0.0014138606617027118,0.056561252500000006,0.05558711111111111,0.0004328333333333333,0.054061563,0.062279043000000006
bench/handler_stack_bench/output/local,0.8190799684000001,0.011766737111471078,0.818142907,0.8134260666666665,0.005060866666666666,0.802565237,0.844693778
bench/handler_stack_bench/output/massive,0.7313506406666668,0.021506700915640404,0.727341824,0.7269587333333333,0.0034612,0.699585625,0.776017603
bench/handler_stack_bench/output/mid,0.048468238866666666,0.004653537849717169,0.0492756325,0.045789583333333314,0.0015904333333333332,0.036405520000000004,0.058845673
bench/handler_stack_bench/output/real,0.08575318922857145,0.003155880649586225,0.08563495,0.0825851142857143,0.002347285714285715,0.07822907600000001,0.09253889900000001
bench/handler_stack_bench/output/thin,0.032071540375,0.0015018680085004666,0.032540138,0.029335318181818195,0.0016071363636363633,0.028891433,0.034405064
bench/handler_stack_bench/output/wide,0.0733488764390244,0.006011390606054876,0.075106108,0.07039560975609757,0.0019051219512195119,0.062328115,0.080538595
bench/skynet_bench/output/libseff,0.08137111654054055,0.0017633326783979978,0.080859818,0.08059991891891889,0.00031294594594594594,0.07930245000000001,0.08650315800000001
bench/skynet_bench/output/libseff_async,0.07546441622222222,0.003270290865754659,0.07518451100000001,0.5909210833333333,0.0033181388888888887,0.068978472,0.08184014
bench/skynet_bench/output/libseff_async_tk,0.08820378119444447,0.003272207811962655,0.08903039600000001,0.6606013333333333,0.020145750000000004,0.081330924,0.09287934
bench/skynet_bench/output/libseff_scheff_poll,0.36606563940000003,0.047325589757976266,0.367465625,2.857531533333334,0.0450604,0.221255752,0.431734335
bench/skynet_bench/output/libseff_scheff_sleep,0.09132754632258064,0.002488424831515128,0.090725503,0.6256651612903226,0.05155777419354839,0.08737166,0.094909951
bench/skynet_syscall_bench/output/libseff,1.7907816892000001,0.07665915169797172,1.802728261,0.22836406666666662,1.5619627999999999,1.623095572,1.8837473230000001
bench/skynet_syscall_bench/output/libseff_opt,0.47118758393333343,0.0469310294643156,0.44938064800000005,0.11452893333333332,0.35560619999999993,0.439300623,0.572698558
bench/state_bench/output/c,0.015102030830985918,0.0006813218443664326,0.015073545,0.014068999999999998,0.00014762910798122062,0.013642856,0.017088783
bench/state_bench/output/cpp-effects,1.2097222064,0.01537513308947905,1.205521871,1.2083230666666664,0.0005321333333333333,1.189484329,1.234092781
bench/state_bench/output/libhandler_general,6.5518694714,0.20069883833009286,6.53636782,4.220200133333334,2.329436133333333,6.258893122,6.994375294
bench/state_bench/output/libhandler_tail,0.10272848007142861,0.003342958650878987,0.10158647000000001,0.10113967857142855,0.0005545357142857143,0.09809314400000001,0.111045738
bench/state_bench/output/libhandler_tail_noop,0.08067679916666666,0.002135786301105902,0.080374633,0.08028536111111112,0,0.077083542,0.08602383400000001
bench/state_bench/output/libmpeff_multi,0.8048076015333334,0.008294786702191938,0.805039296,0.8013535333333333,0.0007986,0.788806227,0.8194688240000001
bench/state_bench/output/libmpeff_once,0.6494974734,0.010810329268228386,0.646267813,0.6478272666666667,0.00026606666666666666,0.636143239,0.6745580330000001
